tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,field_10,totpop19,pop24_16,NHW16,A20_34y16,College16,mdfami19,mdrent19,field_18,NHW00_19,A20_34y00_,College00_,mdfami00_1,mdrent00_1,field_24,scores_raw,score_0.02,score_0.5,score_0.97,pr_uz0217,pr_bf_1ft,pr_bf_025m,pr_bf_05mi
"36047024100",Bedford,"1426","1025",19.000000000000000,"317",101.000000000000000,"23929","569",,"2765",,,,,"61192","2106",,50.247511179999997,0.404470026000000,2.947139813000000,1.557231811000000,2.701230228000000,"0",4.214776500000000,4.465803800000000,3.741834800000000,2.975467500000000,"1","0","1","1"
"36047024200",Borough Park,"2946","1439",2489.000000000000000,"696",170.000000000000000,"31629","866",,"2868",,,,,"63698","1605",,0.092815081000000,-0.586205895000000,0.389736648000000,1.013911284000000,0.853348730000000,"0",-0.607050060000000,0.006458000000000,-0.754809520000000,-1.520073690000000,"0","0","0","0"
"36047024300",Bedford,"4022","2449",85.000000000000000,"926",291.000000000000000,"31080","521",,"4122",,,,,"59779","1243",,16.712549589999998,-0.112014445000000,4.257595235000000,0.923391248000000,1.385796545000000,,2.969980400000000,3.828921100000000,3.093718900000000,2.356547100000000,"1","0","1","1"
"36047024400",Borough Park,"3001","1820",2394.000000000000000,"572",297.000000000000000,"41188","809",,"3609",,,,,"68516","1675",,0.023958715000000,-0.458676541000000,-0.028479120000000,0.663494222000000,1.070457355000000,"0",-0.916634940000000,-0.145383050000000,-0.937980250000000,-1.730243140000000,"0","0","0","0"
"36047024500",Bedford,"3555","2354",90.000000000000000,"718",371.000000000000000,"32188","574",,"4491",,,,,"85169","1645",,11.207971499999999,0.103070890000000,2.571725662000000,1.645986082000000,1.865853659000000,"0",3.114255200000000,3.924249300000000,3.147401100000000,2.415069600000000,"1","0","1","1"
"36047024600",Borough Park,"2898","1973",1911.000000000000000,"690",374.000000000000000,"44961","767",,"2880",,,,,"51354","1430",,-0.124336081000000,-0.387408917000000,0.358706551000000,0.142189898000000,0.864406780000000,"0",-0.987017990000000,-0.249821770000000,-0.985503510000000,-1.717999960000000,"0","0","0","0"
"36047024700",Crown Heights North,"2297","1483",10.000000000000000,"521",172.000000000000000,"30724","536",,"2672",,,,,"46518","1712",,51.353031440000002,0.066353138000000,1.943820934000000,0.514060669000000,2.194029851000000,,2.860383200000000,3.661243200000000,2.960448800000000,2.262171400000000,"1","1","1","1"
"36047024800",Bensonhurst West,"2513","1789",1577.000000000000000,"600",329.000000000000000,"37457","652",,"2653",,,,,"49940","1356",,-0.284021798000000,-0.268350923000000,0.013449247000000,0.333262141000000,1.079754601000000,"0",-0.959750410000000,-0.154432300000000,-0.924128600000000,-1.664291720000000,"0","0","0","0"
"36047024900",Bedford,"4240","2785",68.000000000000000,"925",472.000000000000000,"35982","588",,"4018",,,,,"70268","1541",,21.020613120000000,0.168206584000000,2.823050510000000,0.952865322000000,1.620748299000000,"0",3.047014600000000,3.846299300000000,3.104832000000000,2.379868000000000,"1","0","1","1"
"36047025000",Bensonhurst West,"1485","1018",680.000000000000000,"314",164.000000000000000,"47222","692",,"1853",,,,,"53186","1407",,-0.690045554000000,-0.328147504000000,0.275403762000000,0.126297065000000,1.033236994000000,"0",-1.303737740000000,-0.315642790000000,-1.059042390000000,-1.775560050000000,"0","0","0","0"
"36047025100",Bedford,"3826","1898",4.000000000000000,"777",119.000000000000000,"29153","454",,"3741",,,,,"39474","1336",,249.055332800000002,-0.146579504000000,8.066982045000000,0.354028745000000,1.942731278000000,"0",4.382348300000001,4.743767300000000,4.005776000000000,3.266383700000000,"1","0","1","1"
"36047025200",Bensonhurst West,"4644","3285",2941.000000000000000,"977",681.000000000000000,"35987","710",,"5299",,,,,"60173","1422",,-0.392992166000000,-0.187176932000000,0.508268953000000,0.672076027000000,1.002816901000000,"0",-0.218495740000000,0.382275200000000,-0.359999730000000,-1.134436700000000,"0","0","0","0"
